,route,neighbourhood,sublocality,administrative_area,lat,long
1068,Jeanette Avenue,Arden Heights,Arden Heights,Richmond County,40.5424657,-74.1746625
1069,U.S. 9,Fieldston,Fieldston,Bronx County,40.8919476,-73.8973687
1070,154th Street,Flushing,Flushing,Queens County,40.7681033,-73.8107752
1071,Bard Avenue,West Brighton,West Brighton,Richmond County,40.6267035,-74.1052076
1072,87th Street,Jamaica,Jamaica,Queens County,40.6960034,-73.8584205
1073,East 62nd Street,,Manhattan,New York County,40.7636632,-73.9655082
1074,116th Avenue,Jamaica,Jamaica,Queens County,40.694328,-73.7581979
1075,56th Street,Flushing,Flushing,Queens County,40.7439956,-73.908547
1076,West 73rd Street,,Manhattan,New York County,40.7794608,-73.979919
1077,Central Park West,,Manhattan,New York County,40.7830893,-73.9713177
1078,West 138th Street,,Manhattan,New York County,40.8153009,-73.9380717
1079,East 56th Street,Flatlands,Flatlands,Kings County,40.6236835,-73.9213087
1080,Glenwood Road,Canarsie,Canarsie,Kings County,40.6391205,-73.9112362
1081,Netherland Avenue,Riverdale,Riverdale,Bronx County,40.8848915,-73.9110436
1082,East 81st Street,,Manhattan,New York County,40.7723985,-73.9482206
1083,Old Fulton Street,Brooklyn Heights,Brooklyn Heights,Kings County,40.702334,-73.9937463
1084,63rd Road,Rego Park,Rego Park,Queens County,40.7318958,-73.8599645
1085,Golf View Court,New Springville,New Springville,Richmond County,40.580134,-74.154154
1086,East 179th Street,West Bronx,West Bronx,Bronx County,40.8460907,-73.8887912
1087,West 126th Street,,Manhattan,New York County,40.8071957,-73.941821
1088,Flagship Circle,Prince's Bay,Prince's Bay,Richmond County,40.5147701,-74.2022363
1089,Bay 46th Street,,Brooklyn,Kings County,40.5908794,-73.9865956
1090,80th Street,Jamaica,Jamaica,Queens County,40.6565796,-73.8516349
1091,Oceana Drive West,Brighton Beach,Brighton Beach,Kings County,40.577533,-73.958513
1092,Sutton Square,,Manhattan,New York County,40.7577238,-73.9597924
1093,Nassau Avenue,Greenpoint,Greenpoint,Kings County,40.7246592,-73.9475691
1094,East 81st Street,,Manhattan,New York County,40.7751786,-73.9550168
1095,58th Street,Borough Park,Borough Park,Kings County,40.6337561,-74.003307
1096,Croes Avenue,East Bronx,East Bronx,Bronx County,40.8282228,-73.8706372
1097,West 108th Street,,Manhattan,New York County,40.8032028,-73.9687464
1098,Cambreleng Avenue,Belmont,Belmont,Bronx County,40.8550515,-73.8852304
1099,Oak Avenue,Flushing,Flushing,Queens County,40.7472951,-73.8164494
1100,251st Street,Little Neck,Little Neck,Queens County,40.7601741,-73.728329
1101,Kosciuszko Street,Bedford-Stuyvesant,Bedford-Stuyvesant,Kings County,40.6921071,-73.9400823
1102,Father Capodanno Boulevard,Arrochar,Arrochar,Richmond County,40.5909939,-74.0662942
1103,Castleton Avenue,Port Richmond,Port Richmond,Richmond County,40.635324,-74.133679
1104,Union Street,Crown Heights,Crown Heights,Kings County,40.6701878,-73.9595284
1105,Saint Nicholas Avenue,,Manhattan,New York County,40.7992319,-73.9526079
1106,Dartmouth Street,Flushing,Flushing,Queens County,40.7207542,-73.8537801
1107,73rd Street,Jackson Heights,Jackson Heights,Queens County,40.7488599,-73.8926999
1108,Snediker Avenue,East New York,East New York,Kings County,40.6645719,-73.8995034
1109,Hart Boulevard,West Brighton,West Brighton,Richmond County,40.630475,-74.100665
1110,Greenwich Street,,Manhattan,New York County,40.7241961,-74.0091487
1111,Goff Avenue,Prince's Bay,Prince's Bay,Richmond County,40.5248784,-74.2121776
1112,Linden Street,Flushing,Flushing,Queens County,40.7086372,-73.9026067
1113,Herschell Street,Westchester Square,Westchester Square,Bronx County,40.8368581,-73.8449273
1114,73rd Street,Bensonhurst,Bensonhurst,Kings County,40.6163169,-73.9981652
1115,Crescent Street,East New York,East New York,Kings County,40.6649303,-73.8670719
1116,West 81st Street,,Manhattan,New York County,40.7836212,-73.9759437
1117,Delafield Avenue,Fieldston,Fieldston,Bronx County,40.8930548,-73.9067416
1118,East 73rd Street,Bergen Beach,Bergen Beach,Kings County,40.6215026,-73.9066372
1119,Ely Avenue,Edenwald,Edenwald,Bronx County,40.8807579,-73.8418489
1120,Metropolitan Oval,Parkchester,Parkchester,Bronx County,40.8389829,-73.8601515
1121,East 88th Street,,Manhattan,New York County,40.782683,-73.9586904
1122,Northern Boulevard,Corona,Corona,Queens County,40.7582228,-73.8559216
1123,Tierney Place,East Bronx,East Bronx,Bronx County,40.8135939,-73.8019007
1124,77th Road,Flushing,Flushing,Queens County,40.7236718,-73.8030548
1125,Heberton Avenue,Port Richmond,Port Richmond,Richmond County,40.6314894,-74.1348461
1126,East 64th Street,,Manhattan,New York County,40.7669348,-73.9701575
1127,Watchogue Road,Mid Island,Mid Island,Richmond County,40.6155772,-74.1364517
1128,Dumont Avenue,Ozone Park,Ozone Park,Queens County,40.6726721,-73.8496745
1129,205th Place,Jamaica,Jamaica,Queens County,40.71176,-73.753743
1130,East 24th Street,Sheepshead Bay,Sheepshead Bay,Kings County,40.5887895,-73.9452357
1131,National Drive,Mill Basin,Mill Basin,Kings County,40.6055237,-73.9143161
1132,Avenue T,Mill Basin,Mill Basin,Kings County,40.6142504,-73.9196974
1133,Douglas Road,Todt Hill,Todt Hill,Richmond County,40.6071393,-74.097086
1134,223rd Street,Jamaica,Jamaica,Queens County,40.7107548,-73.7320869
1135,East 19th Street,,Manhattan,New York County,40.736891,-73.985669
1136,165th Avenue,Jamaica,Jamaica,Queens County,40.6491159,-73.8389887
1137,Wall Street,,Manhattan,New York County,40.7059312,-74.0093393
1138,East 66th Street,Mill Basin,Mill Basin,Kings County,40.6148883,-73.9078973
1139,Needham Avenue,Williamsbridge,Williamsbridge,Bronx County,40.8781862,-73.8523657
1140,Darlington Avenue,Woodrow,Woodrow,Richmond County,40.5342218,-74.2016301
1141,Ellis Street,Tottenville,Tottenville,Richmond County,40.5142085,-74.2505102
1142,West 104th Street,,Manhattan,New York County,40.80059,-73.97071
1143,Baltic Street,Cobble Hill,Cobble Hill,Kings County,40.6867525,-73.996485
1144,Granger Street,Flushing,Flushing,Queens County,40.7385519,-73.8545527
1145,Sunset Boulevard,Clason Point,Clason Point,Bronx County,40.806951,-73.853401
1146,Nelson Avenue,Morris Heights,Morris Heights,Bronx County,40.8474641,-73.9177608
1147,Park Terrace West,,Manhattan,New York County,40.8717961,-73.916064
1148,46th Avenue,Flushing,Flushing,Queens County,40.7544269,-73.8114185
1149,East 31st Street,,Manhattan,New York County,40.7437415,-73.978774
1150,146th Street,Jamaica,Jamaica,Queens County,40.6693291,-73.7924388
1151,East 51st Street,Flatlands,Flatlands,Kings County,40.6183626,-73.9260392
1152,Brookside Loop,Woodrow,Woodrow,Richmond County,40.5393625,-74.214287
1153,Brighton 4th Street,Brighton Beach,Brighton Beach,Kings County,40.5817208,-73.9645608
1154,Dartmouth Street,Forest Hills,Forest Hills,Queens County,40.7192438,-73.8499268
1155,Prospect Place,Park Slope,Park Slope,Kings County,40.6799381,-73.9764616
1156,143rd Street,Jamaica,Jamaica,Queens County,40.6717866,-73.7955639
1157,Sunset Boulevard,Clason Point,Clason Point,Bronx County,40.807051,-73.853819
1158,Fieldston Road,Fieldston,Fieldston,Bronx County,40.8976524,-73.9019402
1159,72nd Avenue,Forest Hills,Forest Hills,Queens County,40.721289,-73.8403901
1160,Corlear Avenue,Kingsbridge,Kingsbridge,Bronx County,40.8809803,-73.9074446
1161,142nd Street,Jamaica,Jamaica,Queens County,40.6820237,-73.800217
1162,2nd Avenue,,Manhattan,New York County,40.7704759,-73.9574549
1163,East 29th Street,,Manhattan,New York County,40.741725,-73.9786641
1164,Laurel Avenue,Seagate,Seagate,Kings County,40.5776897,-74.0072206
1165,Pawnee Place,Morris Park,Morris Park,Bronx County,40.8548137,-73.8500157
1166,Montreal Avenue,Oakwood,Oakwood,Richmond County,40.5592121,-74.1263587
1167,Hett Avenue,Oakwood,Oakwood,Richmond County,40.5610279,-74.1050355
1168,West 21st Street,,Manhattan,New York County,40.7433901,-73.9973776
1169,Atlantic Avenue,Seagate,Seagate,Kings County,40.5757051,-74.0098832
1170,Madison Avenue,,Manhattan,New York County,40.8003865,-73.9443376
1171,73rd Avenue,Flushing,Flushing,Queens County,40.7282179,-73.8032584
1172,1st Avenue,,Manhattan,New York County,40.797735,-73.933806
1173,East 80th Street,,Manhattan,New York County,40.77551,-73.957627
1174,268th Street,Floral Park,Floral Park,Queens County,40.7427699,-73.70245
1175,45th Road,Flushing,Flushing,Queens County,40.7565607,-73.7796734
1176,Dash Place,Fieldston,Fieldston,Bronx County,40.8890553,-73.9033819
1177,Duane Street,,Manhattan,New York County,40.7134524,-74.0070904
1178,Arden Avenue,Arden Heights,Arden Heights,Richmond County,40.5434215,-74.174846
1179,Cannon Avenue,Travis - Chelsea,Travis - Chelsea,Richmond County,40.594453,-74.1889609
1180,Nome Avenue,New Springville,New Springville,Richmond County,40.5862681,-74.1585168
1181,Putnam Avenue,Ocean Hill,Ocean Hill,Kings County,40.6871306,-73.9215141
1182,West 227th Street,Spuyten Duyvil,Spuyten Duyvil,Bronx County,40.8806865,-73.9157055
1183,Henry Street,Brooklyn Heights,Brooklyn Heights,Kings County,40.6915357,-73.9956516
1184,Fort Hamilton Parkway,Fort Hamilton,Fort Hamilton,Kings County,40.617279,-74.0267532
1185,Tenbroeck Avenue,Morris Park,Morris Park,Bronx County,40.851494,-73.8492232
1186,East 77th Street,,Manhattan,New York County,40.7719231,-73.955157
1187,Post Lane,Mariners Harbor,Mariners Harbor,Richmond County,40.6384591,-74.1646633
1188,74th Street,Flushing,Flushing,Queens County,40.7037872,-73.8752532
1189,West 72nd Street,,Manhattan,New York County,40.7769649,-73.9769247
1190,West 231st Street,Spuyten Duyvil,Spuyten Duyvil,Bronx County,40.8827696,-73.9148245
1191,,Jackson Heights,Jackson Heights,Queens County,40.7518439,-73.8822788
1192,Beach Channel Drive,Rockaway Park,Rockaway Park,Queens County,40.5781687,-73.8586706
1193,East 84th Street,,Manhattan,New York County,40.7750765,-73.9495633
1194,Booth Street,Flushing,Flushing,Queens County,40.7309404,-73.8683812
1195,66th Avenue,Flushing,Flushing,Queens County,40.7332174,-73.8448704
1196,66th Street,Flushing,Flushing,Queens County,40.7023326,-73.8891107
1197,West 90th Street,,Manhattan,New York County,40.7910972,-73.9748583
1198,Parsons Boulevard,Flushing,Flushing,Queens County,40.7685072,-73.8246067
1199,Heath Avenue,West Bronx,West Bronx,Bronx County,40.87796,-73.9011666
1200,Grand Avenue,Elmhurst,Elmhurst,Queens County,40.73531,-73.8812513
1201,130th Street,Jamaica,Jamaica,Queens County,40.669243,-73.809973
1202,Tompkins Avenue,Rosebank,Rosebank,Richmond County,40.6107278,-74.0701607
1203,71st Street,Bensonhurst,Bensonhurst,Kings County,40.618311,-73.997597
1204,Crescent Street,East New York,East New York,Kings County,40.6713695,-73.869277
1205,Unionport Road,Parkchester,Parkchester,Bronx County,40.8389649,-73.8613485
1206,Melbourne Avenue,Kew Gardens Hills,Kew Gardens Hills,Queens County,40.734848,-73.8232512
1207,Anaconda Street,Rossville,Rossville,Richmond County,40.546286,-74.195582
1208,Avenue U,Bergen Beach,Bergen Beach,Kings County,40.6207744,-73.9055089
1209,Richmond Road,New Dorp,New Dorp,Richmond County,40.5767317,-74.1187369
1210,5th Avenue,,Manhattan,New York County,40.8082842,-73.9412356
1211,164th Avenue,Jamaica,Jamaica,Queens County,40.651735,-73.830298
1212,South Greenleaf Avenue,Castleton Corners,Castleton Corners,Richmond County,40.6163157,-74.1248333
1213,Queens Boulevard,Forest Hills,Forest Hills,Queens County,40.7201292,-73.8398387
1214,Jansen Street,Southeast Annadale,Southeast Annadale,Richmond County,40.5274146,-74.179841
1215,Corporal Kennedy Street,Bayside,Bayside,Queens County,40.7808597,-73.7834998
1216,East 18th Street,Flatbush,Flatbush,Kings County,40.6331671,-73.9597006
1217,West 13th Street,,Manhattan,New York County,40.7361476,-73.9955368
1218,60th Avenue,Elmhurst,Elmhurst,Queens County,40.7304899,-73.8735933
1219,West 17th Street,Coney Island,Coney Island,Kings County,40.5784256,-73.9853674
1220,Vanderbilt Avenue,Clinton Hill,Clinton Hill,Kings County,40.6883185,-73.9686154
1221,Thompson Street,,Manhattan,New York County,40.7261696,-74.0013901
1222,Norwood Avenue,Cypress Hills,Cypress Hills,Kings County,40.6830732,-73.8797396
1223,Ocean Terrace,Todt Hill,Todt Hill,Richmond County,40.6069525,-74.1016936
1224,East 72nd Street,Bergen Beach,Bergen Beach,Kings County,40.6259736,-73.9141206
1225,Brehaut Avenue,Tottenville,Tottenville,Richmond County,40.5116874,-74.2388187
1226,Ely Avenue,East Bronx,East Bronx,Bronx County,40.8965547,-73.8476725
1227,East 51st Street,Flatlands,Flatlands,Kings County,40.6175251,-73.9255226
1228,10th Avenue,Flushing,Flushing,Queens County,40.7884912,-73.8515778
1229,Mercer Street,,Manhattan,New York County,40.7217614,-74.0013329
1230,38th Avenue,Woodside,Woodside,Queens County,40.7472542,-73.8978152
1231,East 41st Street,,Manhattan,New York County,40.7488491,-73.9716161
1232,Holland Avenue,East Bronx,East Bronx,Bronx County,40.8563536,-73.865974
1233,91st Street,Fort Hamilton,Fort Hamilton,Kings County,40.6208655,-74.036863
1234,Archwood Avenue,Woodrow,Woodrow,Richmond County,40.5357703,-74.1849822
1235,Jamie Lane,Arden Heights,Arden Heights,Richmond County,40.5628043,-74.1853825
1236,Neilson Street,Far Rockaway,Far Rockaway,Queens County,40.6042895,-73.7478287
1237,,Jackson Heights,Jackson Heights,Queens County,40.7490984,-73.8849909
1238,Bay Club Drive,Bay Terrace,Bay Terrace,Queens County,40.7780359,-73.7808993
1239,Linwood Street,East New York,East New York,Kings County,40.6758271,-73.8828978
1240,,Crown Heights,Crown Heights,Kings County,40.6672186,-73.9566539
1241,East 22nd Street,,Manhattan,New York County,40.7371253,-73.9806613
1242,West 20th Street,,Manhattan,New York County,40.7439188,-74.0014359
1243,78th Street,Jamaica,Jamaica,Queens County,40.6892122,-73.8634426
1244,Grand Concourse,Concourse Village,Concourse Village,Bronx County,40.8301222,-73.9202611
1245,East 238th Street,East Bronx,East Bronx,Bronx County,40.8994229,-73.8706379
1246,82nd Street,Bensonhurst,Bensonhurst,Kings County,40.6047809,-73.9920476
1247,48th Avenue,Long Island City,Long Island City,Queens County,40.744346,-73.957101
1248,Knollwood Avenue,Douglaston,Douglaston,Queens County,40.7800183,-73.7514697
1249,Brighton Court,Gravesend,Gravesend,Kings County,40.5874424,-73.9675716
1250,77th Street,Bay Ridge,Bay Ridge,Kings County,40.6295982,-74.0275565
1251,Madison Avenue,,Manhattan,New York County,40.8099353,-73.9377818
1252,133rd Avenue,Jamaica,Jamaica,Queens County,40.6693668,-73.7996259
1253,East 87th Street,,Manhattan,New York County,40.7762825,-73.9453865
1254,83rd Street,Jamaica,Jamaica,Queens County,40.6556445,-73.848959
1255,Oak Drive,Far Rockaway,Far Rockaway,Queens County,40.6021451,-73.7401761
1256,Heath Avenue,Fordham Manor,Fordham Manor,Bronx County,40.8717268,-73.9050847
1257,42nd Avenue,Elmhurst,Elmhurst,Queens County,40.7459265,-73.868944
1258,Burnett Street,Gerritsen Beach,Gerritsen Beach,Kings County,40.6014996,-73.9324298
1259,South Portland Avenue,Fort Greene,Fort Greene,Kings County,40.6884736,-73.9747288
1260,Erie Street,Prince's Bay,Prince's Bay,Richmond County,40.5251737,-74.2176044
1261,West 23 Street,,Manhattan,New York County,40.7464807,-74.0018835
1262,Rockland Avenue,Mid Island,Mid Island,Richmond County,40.5887913,-74.1444799
1263,Milford Street,East New York,East New York,Kings County,40.6681943,-73.8749046
1264,Crosby Street,,Manhattan,New York County,40.7246503,-73.9960912
1265,3rd Avenue,Flushing,Flushing,Queens County,40.7956412,-73.8246757
1266,91st Avenue,Jamaica,Jamaica,Queens County,40.695043,-73.832656
1267,168th Street,Flushing,Flushing,Queens County,40.7684367,-73.7969886
1268,15th Avenue,Bensonhurst,Bensonhurst,Kings County,40.6165131,-74.0045846
1269,Greenwich Street,,Manhattan,New York County,40.7229769,-74.0093524
1270,Riverside Drive,Whitestone,Whitestone,Queens County,40.7964178,-73.8058096
1271,113th Street,Forest Hills,Forest Hills,Queens County,40.7205894,-73.8359422
1272,Anderson Avenue,Highbridge,Highbridge,Bronx County,40.83645,-73.924271
1273,212th Street,Jamaica,Jamaica,Queens County,40.7115495,-73.7464296
1274,Central Park West,,Manhattan,New York County,40.7945469,-73.9649582
1275,Glenmore Avenue,East New York,East New York,Kings County,40.6741308,-73.8908415
1276,150th Street,Whitestone,Whitestone,Queens County,40.7836228,-73.8141298
1277,72nd Street,Flushing,Flushing,Queens County,40.7151328,-73.8834603
1278,91st Street,Fort Hamilton,Fort Hamilton,Kings County,40.619526,-74.0311577
1279,Poplar Street,Flushing,Flushing,Queens County,40.7690548,-73.7444989
1280,Henry Hudson Parkway,Riverdale,Riverdale,Bronx County,40.8868607,-73.9129726
1281,Wellington Court,New Springville,New Springville,Richmond County,40.5803785,-74.1578058
1282,Harbor Road,Mariners Harbor,Mariners Harbor,Richmond County,40.6281869,-74.1606727
1283,7th Street,Gowanus,Gowanus,Kings County,40.671985,-73.9889397
1284,Maryland Avenue,Rosebank,Rosebank,Richmond County,40.6077498,-74.0743086
1285,Bank Street,,Manhattan,New York County,40.7371772,-74.0024577
1286,East 86th Street,,Manhattan,New York County,40.778484,-73.9524912
1287,127th Street,Flushing,Flushing,Queens County,40.7922364,-73.8405165
1288,Van Siclen Avenue,East New York,East New York,Kings County,40.6629386,-73.8878146
1289,Greene Street,,Manhattan,New York County,40.7228178,-74.00088
1290,Bay Ridge Parkway,Bay Ridge,Bay Ridge,Kings County,40.6275081,-74.018889
1291,Eastern Parkway,Crown Heights,Crown Heights,Kings County,40.6699448,-73.9429395
1292,East 19th Street,,Manhattan,New York County,40.7369927,-73.9868876
1293,131st Avenue,Rosedale,Rosedale,Queens County,40.6778447,-73.7335012
1294,Bascom Place,Bulls Head,Bulls Head,Richmond County,40.606711,-74.1447092
1295,West 5th Street,Coney Island,Coney Island,Kings County,40.5776924,-73.9737314
1296,Riverdale Avenue,Kingsbridge,Kingsbridge,Bronx County,40.8833792,-73.907461
1297,42nd Street,Woodside,Woodside,Queens County,40.739059,-73.9229803
1298,Richmond Road,New Dorp,New Dorp,Richmond County,40.5774962,-74.1181004
1299,Mcarthur Avenue,Arden Heights,Arden Heights,Richmond County,40.5546832,-74.1780566
1300,Irving Place,Clifton,Clifton,Richmond County,40.6175808,-74.0858322
1301,71st Avenue,Forest Hills,Forest Hills,Queens County,40.7223099,-73.84153
1302,68th Avenue,Flushing,Flushing,Queens County,40.7240812,-73.8521227
1303,Whitman Drive,Mill Basin,Mill Basin,Kings County,40.6049921,-73.9106532
1304,Annfield Court,Todt Hill,Todt Hill,Richmond County,40.6000344,-74.1064235
1305,Delaware Avenue,Flushing,Flushing,Queens County,40.7562704,-73.8180817
1306,Queens Boulevard,Forest Hills,Forest Hills,Queens County,40.7270139,-73.8523359
1307,Bond Street,Bay Ridge,Bay Ridge,Kings County,40.6286854,-74.0372417
1308,West End Avenue,,Manhattan,New York County,40.7914938,-73.9756337
1309,Madeline Court,Bay Ridge,Bay Ridge,Kings County,40.6369819,-74.0276787
1310,213th Street,Queens Village,Queens Village,Queens County,40.7066981,-73.7439122
1311,Bay Ridge Avenue,Bay Ridge,Bay Ridge,Kings County,40.6325838,-74.0194607
1312,253rd Street,Jamaica,Jamaica,Queens County,40.735335,-73.7142031
1313,National Drive,Mill Basin,Mill Basin,Kings County,40.6037688,-73.9113665
1314,60th Avenue,Corona,Corona,Queens County,40.7364499,-73.8584826
1315,Ridge Boulevard,Bay Ridge,Bay Ridge,Kings County,40.6343667,-74.0311335
1316,37th Avenue,Jackson Heights,Jackson Heights,Queens County,40.7510826,-73.8738365
1317,72nd Street,Flushing,Flushing,Queens County,40.7165988,-73.883495
1318,Cropsey Avenue,,Brooklyn,Kings County,40.5954596,-73.9968422
1319,Boulevard,Malba,Malba,Queens County,40.7924353,-73.8258362
1320,East 73rd Street,Bergen Beach,Bergen Beach,Kings County,40.6283771,-73.9175027
