,route,neighbourhood,sublocality,administrative_area,lat,long
986,Cascade Street,Midland Beach,Midland Beach,Richmond County,40.5819307,-74.1025463
987,Campus Road,Mid Island,Mid Island,Richmond County,40.6126021,-74.0930021
988,Grosvenor Avenue,Fieldston,Fieldston,Bronx County,40.897896,-73.903306
989,Purdy Street,Parkchester,Parkchester,Bronx County,40.840962,-73.854142
990,34th Avenue,Jackson Heights,Jackson Heights,Queens County,40.7544029,-73.876343
991,Forest Lane,Tottenville,Tottenville,Richmond County,40.5032035,-74.2388518
992,MacDonough Street,Stuyvesant Heights,Stuyvesant Heights,Kings County,40.6819529,-73.9373297
993,Delafield Avenue,North Riverdale,North Riverdale,Bronx County,40.9110703,-73.9017893
994,Cyrus Place,Belmont,Belmont,Bronx County,40.8585142,-73.8918995
995,33rd Street,Astoria,Astoria,Queens County,40.7759232,-73.9087334
996,Iselin Avenue,Fieldston,Fieldston,Bronx County,40.8982423,-73.904797
997,East 93rd Street,,Manhattan,New York County,40.7852855,-73.9560385
998,East 76th Street,,Manhattan,New York County,40.7685084,-73.9499965
999,183rd Street,Jamaica,Jamaica,Queens County,40.6714818,-73.7606794
1000,,,United States,New York County,40.7756423,-73.9642465
1001,Continental Avenue,Forest Hills,Forest Hills,Queens County,40.7193051,-73.8453248
1002,West 158th Street,,Manhattan,New York County,40.8354875,-73.9459545
1003,East 22nd Street,Flatbush,Flatbush,Kings County,40.632221,-73.955309
1004,Bailey Avenue,Fordham Manor,Fordham Manor,Bronx County,40.8678944,-73.9078533
1005,2nd Avenue,,Manhattan,New York County,40.7720149,-73.9555341
1006,Northern Boulevard,Corona,Corona,Queens County,40.7579027,-73.8562374
1007,Bay Street Landing,Mid Island,Mid Island,Richmond County,40.638118,-74.073964
1008,Doran Avenue,Flushing,Flushing,Queens County,40.708633,-73.865415
1009,9th Avenue,Flushing,Flushing,Queens County,40.7932677,-73.7984822
1010,Carroll Street,Columbia Street Waterfront District,Columbia Street Waterfront District,Kings County,40.6834305,-74.005483
1011,Johnson Avenue,Spuyten Duyvil,Spuyten Duyvil,Bronx County,40.876794,-73.9177034
1012,Hicksville Road,Far Rockaway,Far Rockaway,Queens County,40.5999698,-73.7455103
1013,196th Street,Flushing,Flushing,Queens County,40.7337126,-73.7765367
1014,,Greenpoint,Greenpoint,Kings County,40.7320824,-73.9610327
1015,120th Street,Flushing,Flushing,Queens County,40.7761945,-73.8477672
1016,23rd Avenue,Flushing,Flushing,Queens County,40.7784107,-73.7810479
1017,Henry Hudson Parkway West,Spuyten Duyvil,Spuyten Duyvil,Bronx County,40.8830898,-73.9165737
1018,Riverside Drive,,Manhattan,New York County,40.7989206,-73.9723967
1019,Saint Stephens Place,New Dorp,New Dorp,Richmond County,40.5771798,-74.119431
1020,Seaman Avenue,,Manhattan,New York County,40.8716437,-73.9178483
1021,Colgate Avenue,East Bronx,East Bronx,Bronx County,40.8279037,-73.881623
1022,East 70th Street,,Manhattan,New York County,40.7708684,-73.966733
1023,Piedmont Avenue,Concord,Concord,Richmond County,40.6032357,-74.0737747
1024,Wissman Avenue,East Bronx,East Bronx,Bronx County,40.8209689,-73.8074205
1025,93rd Street,Jackson Heights,Jackson Heights,Queens County,40.7551143,-73.8752634
1026,Carlton Avenue,Woodrow,Woodrow,Richmond County,40.5343207,-74.1998415
1027,Arbutus Avenue,Southeast Annadale,Southeast Annadale,Richmond County,40.5203019,-74.1780566
