,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,LATITUDE,LONGITUDE,SQFT_W,PRICE_W,BATH_clean,sublocality,administrative_area
1901,House for sale,270000,3,2.3738608579684373,1158.0,40.884,-73.864,7.055312843339752,12.506180941677357,2.0,East Bronx,Bronx County
1902,House for sale,765000,3,2.3738608579684373,2500.0,40.837,-73.892,7.824445930877619,13.547632419997361,2.0,West Bronx,Bronx County
1903,Pending,988000,2,2.0,2451.0,40.786,-73.797,7.804659297056102,13.803438988875241,2.0,Flushing,Queens County
1904,Co-op for sale,339000,1,1.0,,40.769,-73.748,,12.733758336210744,1.0,Douglaston,Queens County
1905,Contingent,1099000,6,6.0,3219.0,40.549,-74.142,8.077136638538454,13.909912143303451,6.0,Great Kills,Richmond County
1906,Condo for sale,1181000,2,2.0,1541.0,40.888,-73.912,7.340835554123275,13.981872941919192,2.0,Riverdale,Bronx County
1907,Co-op for sale,219000,1,1.0,,40.729,-73.817,,12.296831574998258,1.0,Kew Gardens Hills,Queens County
1908,House for sale,588000,3,1.0,1080.0,40.589,-73.921,6.985641817639208,13.28448392755959,1.0,Gerritsen Beach,Kings County
1909,Multi-family home for sale,805000,6,2.0,2042.0,40.853,-73.912,7.622174594817622,13.598598798635953,2.0,Morris Heights,Bronx County
1910,House for sale,929000,3,2.0,1309.0,40.617,-73.962,7.177782416195197,13.74186509422166,2.0,Midwood,Kings County
1911,Pending,670000,1,2.0,908.0,40.719,-73.837,6.812345094177479,13.415034483903348,2.0,Forest Hills,Queens County
1912,House for sale,649000,3,2.0,1152.0,40.545,-74.159,7.050122520269059,13.38318953651709,2.0,Eltingville,Richmond County
1913,Co-op for sale,439900,2,1.0,1000.0,40.732,-73.86,6.90875477931522,12.994304980578146,1.0,Rego Park,Queens County
1914,Co-op for sale,2850000,3,2.0,,40.728,-73.999,,14.862829903121964,2.0,Manhattan,New York County
1915,Co-op for sale,358000,2,1.0,,40.786,-73.782,,12.788291058675025,1.0,Bayside,Queens County
1916,Co-op for sale,299000,1,1.0,,40.722,-73.844,,12.608202196848836,1.0,Forest Hills,Queens County
1917,House for sale,1389000,7,2.0,,40.594,-73.96,,14.144095341678627,2.0,Gravesend,Kings County
1918,House for sale,459999,1,1.0,640.0,40.843,-73.817,6.46302945692067,13.038981768465277,1.0,East Bronx,Bronx County
1919,House for sale,1999000,4,2.0,2600.0,40.591,-74.102,7.8636512654486515,14.508158113732536,2.0,Todt Hill,Richmond County
1920,Townhouse for sale,2395000,5,2.3738608579684373,2560.0,40.685,-73.922,7.848153086199526,14.6888942063636,2.0,Ocean Hill,Kings County
